# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	15795
#@/user_id	rime-setting
chi tou 	喫透	c=1 d=9.05145e-05 t=15795
chi zi 	赤字	c=1 d=0.0780817 t=15795
chong 	重	c=1 d=3.17727e-12 t=15795
chong ci 	衝刺	c=1 d=6.28008e-28 t=15795
chong fen 	充分	c=8 d=0.00773834 t=15795
chong fu 	重複	c=1 d=0.900325 t=15795
chong gou 	重構	c=1 d=1.87079e-16 t=15795
chong qi 	重啓	c=2 d=3.53635e-07 t=15795
chong xin 	重新	c=8 d=0.0679515 t=15795
chong yu 	充裕	c=1 d=1.14649e-20 t=15795
chou ti 	抽屜	c=0 d=9.34417e-12 t=15795
chu 	出	c=11 d=0.0477801 t=15795
chu 	初	c=1 d=5.37378e-18 t=15795
chu 	除	c=1 d=6.38932e-25 t=15795
chu bu liao 	出不了	c=0 d=1.72367e-24 t=15795
chu bu liao men 	出不了門	c=1 d=1.73231e-23 t=15795
chu chai 	出差	c=2 d=1.67993e-33 t=15795
chu cuo 	出錯	c=1 d=0.402524 t=15795
chu fa 	出發	c=2 d=6.08421e-06 t=15795
chu fa 	觸發	c=2 d=3.1289e-08 t=15795
chu hai 	出海	c=5 d=2.13446e-25 t=15795
chu lai 	出來	c=7 d=0.0403683 t=15795
chu le 	出了	c=1 d=2.18333e-10 t=15795
chu li 	處理	c=9 d=0.00267181 t=15795
chu lia 	出倆	c=2 d=0.0401786 t=15795
chu lu 	出路	c=1 d=8.9953e-20 t=15795
chu qu 	出去	c=3 d=2.8847e-27 t=15795
chu ru 	出入	c=1 d=6.45353e-25 t=15795
chu shi 	初始	c=2 d=1.11329e-09 t=15795
chu shi hua 	初始化	c=3 d=4.67254e-20 t=15795
chu wen ti 	出問題	c=1 d=2.10422e-17 t=15795
chu xian 	出現	c=16 d=0.383865 t=15795
chu xin 	初心	c=3 d=7.30962e-05 t=15795
chu yi fen 	出一份	c=1 d=3.49875e-27 t=15795
chu yu 	處於	c=1 d=2.59011e-20 t=15795
chu zai 	處在	c=1 d=0.0029528 t=15795
chua 	欻	c=1 d=5.9349e-10 t=15795
chuan 	船	c=3 d=0.0175975 t=15795
chuan bang 	船幫	c=1 d=5.89909e-27 t=15795
chuan yue 	穿越	c=1 d=9.25476e-31 t=15795
chuang 	牀	c=2 d=0.000521495 t=15795
chuang jia 	牀架	c=1 d=5.99455e-10 t=15795
chuang jian 	創建	c=16 d=1.86618e-09 t=15795
chuang kou 	窗口	c=1 d=1.69946e-33 t=15795
chuang ye 	創業	c=6 d=0.000319351 t=15795
chuang zao 	創造	c=22 d=0.0187916 t=15795
chuang zuo 	創作	c=3 d=2.81052e-05 t=15795
chun shu 	純屬	c=1 d=1.18486e-25 t=15795
chun tian ran 	純天然	c=1 d=1.52114e-23 t=15795
chuo 	戳	c=1 d=8.99224e-16 t=15795
ci 	次	c=1 d=5.81541e-07 t=15795
ci 	此	c=1 d=1.32651e-30 t=15795
ci 	詞	c=2 d=4.0231e-34 t=15795
ci dian 	詞典	c=7 d=3.03295e-20 t=15795
ci ku 	詞庫	c=4 d=5.78598e-31 t=15795
ci pan 	磁盤	c=1 d=0.644036 t=15795
ci tiao 	詞條	c=1 d=0.104874 t=15795
cong 	從	c=37 d=0.405334 t=15795
cong bei jing 	從北京	c=1 d=2.62426e-27 t=15795
cong ci 	從此	c=2 d=5.33317e-17 t=15795
cong neng 	從能	c=1 d=5.96262e-06 t=15795
cong shi bai 	從失敗	c=1 d=6.05995e-20 t=15795
cong ta 	從她	c=1 d=1.50523e-17 t=15795
cong xiao 	從小	c=2 d=3.88794e-18 t=15795
cong xie zuo 	從寫作	c=1 d=8.23255e-07 t=15795
cong xin 	從新	c=2 d=3.08484e-10 t=15795
cou ge 	湊個	c=1 d=1.69743e-19 t=15795
cou zhe 	湊着	c=1 d=3.02043e-20 t=15795
cou zhe ji tian 	湊着幾天	c=1 d=1.89481e-19 t=15795
cu 	粗	c=0 d=2.75505e-12 t=15795
cu kuang 	粗狂	c=1 d=4.49085e-24 t=15795
cu lu 	粗魯	c=0 d=0.0786628 t=15795
cu xiao 	促銷	c=1 d=2.80679e-24 t=15795
cun 	村	c=1 d=2.09195e-07 t=15795
cun chu 	存儲	c=1 d=2.21821e-20 t=15795
cun fang wei zhi 	存放位置	c=1 d=1.18672e-14 t=15795
